Russian,Finnish
аккредитация,Akkreditointi
Информационная безопасность вооруженных сил,Asevoimien informaatioturvallisuus
Деятельность вооруженных сил в информационном пространстве,Asevoimien toiminta informaatiotilassa
автоматизированная обработка персональных данных,Automatisoitu henkilötietojen käsittely
документированная информация,Dokumentoitu informaatio
несанкционированное вмешательство в информационные ресурсы,Ei-hyväksytty puuttuminen informaatioresurssiin
электронный документ,Elektroninen asiakirja
электронное сообщение,Elektroninen ilmoitus
персональные данные,Henkilötiedot
обезличивание персональных данных,Henkilötietojen anonymisointi
информационная система персональных данных,Henkilötietojen informaatiojärjestelmä
обработка персональных данных,Henkilötietojen käsittely
информация,Informaatio
предоставление информации,Informaation antaminen
обладатель информации,Informaation omistaja
распространение информации,Informaation levittäminen
конфиденциальность информации,Informaation luottamuksellisuus
защита информации,Informaation suojaaminen
Информационное оружие,Informaatioase
Информационная инфраструктура,Informaatioinfrastruktuuri
критически важный объект информационной инфраструктуры,Informaatioinfrastruktuurin kriittisesti tärkeä kohde
информационная система,Informaatiojärjestelmä
государственные информационные системы,Valtiolliset informaatiojärjestelmät
муниципальные информационные системы,Kunnalliset informaatiojärjestelmät
оператор информационной системы,Informaatiojärjestelmän operaattori
Информационные ресурсы,Informaatioresurssit
неправомерное использование информационных ресурсов,Informaatioresurssien laiton käyttö
информационная преступность,Informaatiorikollisuus
Информационная война,Informaatiosota
информационные технологии,Informaatioteknologiat
информационно-коммуникационные технологии,Informaatiokommunikaatioteknologiat
информационно-телекоммуникационная сеть,Informaatio-telekommunikaatioverkko
информационный терроризм,Informaatioterrorismi
информационное пространство,Informaatiotila
информационная безопасность,Informaatioturvallisuus
угроза информационной безопасности,Informaatioturvallisuuteen kohdistuva uhka
сайт в сети «Интернет»,Internet-verkkosivusto
Международная информационная безопасность,Kansainvälinen informaatioturvallisuus
средства ликвидации последствий компьютерных инцидентов в критической информационной инфраструктуре,Kriittiseen informaatioinfrastruktuuriin kohdistuvien tietokonehyökkäysten seurausten vaikutusten likvidoinnin välineet
безопасность критической информационной инфраструктуры,Kriittisen informaatioinfrastruktuurin turvallisuus
безопасность автоматизированной системы управления КВО,Kriittisesti tärkeiden objektien ohjaamisen automatisoidun järjestelmän turvallisuus
критически важные объекты,Kriittisesti tärkeät kohteet
критически важный объект,Kriittisesti tärkeä kohde
критически важный объект инфраструктуры Российской Федерации,Kriittisesti tärkeä Venäjän Federaation infrastruktuurin kohde
объекты критической информационной инфраструктуры,Kriittisen informaatioinfrastruktuurin kohteet
критически важные структуры,Kriittisesti tärkeät rakenteet
киберпространство,Kybertila
кибербезопасность,Kyberturvallisuus
оператор,Operaattori
провайдер хостинга,Palveluntarjoaja
доступ к информации,Pääsy informaatioon
владелец сайта в сети «Интернет»,Sivun omistaja
Военный конфликт в информационном пространстве,Sotilaallinen konflikti informaatiotilassa
материальный носитель,Tallennusväline
терроризм в информационном пространстве,Terrorismi informaatiotilassa
компьютерная атака,Tietokonehyökkäys
силы обнаружения и предупреждения компьютерных атак,Tietokonehyökkäysten havaitsemisen ja ennakkovaroittamisen voimat
средства обнаружения и предупреждения компьютерных атак,Tietokonehyökkäysten havaitsemisen ja ennakkovaroittamisen välineet ja keinot
силы ликвидации последствий компьютерных инцидентов в критической информационной инфраструктуре,Tietokonehyökkäysten seurausten likvidoinnin voimat kriittisessä informaatioinfrastruktuurissa
компьютерный инцидент,Tietokoneonnettomuus
компьютерный инцидент,Tietoturvatapahtuma, tietokoneonnettomuus
угроза в информационном пространстве, угроза информационной безопасности,Uhka informaatiotilassa (informaatioturvallisuuden uhka)
государственная система обнаружения, предупреждения и ликвидации последствий компьютерных атак на информационные ресурсы Российской Федерации,Valtiollinen Venäjän Federaation informaatioresursseihin kohdistuvien tietokonehyökkäysten havaitsemis-, ennakkovaroitus- ja niiden seurausten likvidointijärjestelmä
Автоматизированная система управления производственными и технологическими процессами критически важного объекта инфраструктуры Российской Федерации,Venäjän Federaation infrastruktuurin kriittisesti tärkeiden kohteiden tuotannollisten ja teknologisten prosessien johtamisessa käytettävä automatisoitu järjestelmä
Внешняя разведка Российской Федерации,Venäjän Federaation ulkomaan tiedustelu
информационные ресурсы Российской Федерации,Venäjän Federaation informaatioresurssit
Система обеспечения информационной безопасности Российской Федерации,Venäjän Federaation informaatioturvallisuuden takaamisen järjestelmä
критическая информационная инфраструктура Российской Федерации,Venäjän Federaation kriittinen informaatioinfrastruktuuri
субъекты критической информационной инфраструктуры Российской Федерации,Venäjän Federaation kriittisen informaatioinfrastruktuurin subjektit
нарушение функционирования критической информационной инфраструктуры Российской Федерации,Venäjän Federaation kriittisen informaatioinfrastruktuurin toiminnan häiriö
автоматизированная система управления производственными и технологическими процессами критически важного объекта инфраструктуры Российской Федерации,Venäjän Federaation kriittisesti tärkeän infrastruktuurin kohteen tuotannollisten ja teknologisten prosessien automatisoitu johtamisjärjestelmä
безопасность критической информационной инфраструктуры Российской Федерации,Venäjän Federaation kriittisen informaatioinfrastruktuurin turvallisuus
единая система идентификации и аутентификации,Yhtenäinen identifiointi- ja autentisointijärjestelmä
единая государственная система обнаружения и предупреждения компьютерных атак на критическую информационную инфраструктуру и оценки уровня реальной защищенности ее элементов,Yhtenäinen valtiollinen järjestelmä kriittiseen informaatioinfrastruktuuriin kohdistuvien tietokonehyökkäysten havaitsemiseksi ja ennakkovaroitukseksi ja kriittisen informaatioinfrastruktuurin osien suojautumisasteen arvioimiseksi
