Russian,Finnish
танк, panssarivaunu
гусеничный, telaketjuinen
бронированный, panssaroitu
машина, ajoneuvo
броневой, panssari
башня, torni
вооружение, aseistus
силовая установка, voimanlähde
силовая передача, voimansiirto
ходовая часть, alusta
электрооборудование, sähkölaitteisto
средства связи, viestivälineet
корабль, alus
судно, laiva
авианосец, lentotukialus
линейный корабль, taistelulaiva
линкор, taistelulaiva
крейсер, risteilijä
подводная лодка, sukellusvene
эскадренный миноносец, hävittäjä
эсминец, hävittäjä
вертолётоносец, helikopteritukialus
десантный вертолётоносец, maihinnousutukialus
сторожевой корабль, fregatti
артиллерийский катер, tykkivene
торпедный катер, torpedovene
тральщик, miinanraivaaja
минный заградитель, miinanlaskija
аэродром, lentokenttä
вертолёт, helikopteri
самолёт, lentokone
кабина, ohjaamo
двигатель, moottori
мотор, moottori
летательный, lento
аппарат, laite
крыло, siipi
фюзеляж, runko
оперение, pyrstö
шасси, laskuteline
техника, kalusto
бомбардировщик, pommikone
торпедоносец, torpedokone
истребитель-бомбардировщик, hävittäjäpommittaja
истребитель, hävittäjä
истребитель-перехватчик, torjuntahävittäjä
