Russian,Finnish
огневая подготовка, marksmanship training
стрелковая подготовка, marksmanship training
занятие, exercise
погода, weather
летний, summer
ранний, early
поздний, late
вчера, yesterday
сегодня, today
завтра, tomorrow
позавчера, the day before yesterday
послезавтра, the day after tomorrow
изучать, study
техник, technician
осматривать, inspect
лётчик-инструктор, flight instructor
задача, task
задание, task
поставить задачу, assign
ставить задачу, assign
проверять, check
полёт, flight
взлёт, take-off
запускать, start
выруливать, taxi
старт, departure
практика, procedure
практический, practical
натренировать, train
тренировать, practice
умение, skill
соревнования, orienteering competitions
вечер, evening
вечером, in the evening
день, day
днём, daytime
ночь, night
утро, morning
утром, in the morning
поздно, late
рано, early
