Russian,Finnish
прямо, straight ahead
справа, on the right
слева, on the left
рядом, next to
стоять, stand
лежать, lie
местность, terrain
большой, large
маленький, small
узкий, narrow
широкий, wide
равнина, plain
течь, flow
река, river
глубокий, deep
мелкий, shallow
неглубокий, shallow
левый, left
налево, to the left
направо, to the right
правый, right
берег, bank
высокий, high
невысокий, low
низкий, low
крутой, steep
пологий, gentle slope
овраг, ravine
ручей, stream
недалеко, nearby
холм, hill
восток, east
восточный, eastern
запад, west
западный, western
север, north
северный, northern
юг, south
южный, southern
скат, slope
дальше, farther
лес, forest
лиственный лес, deciduous forest
смешанный, mixed
хвойный лес, coniferous forest
расти, grow
густой, dense
редкий, sparse
кустарник, thicket
луг, meadow
болото, bog
населённый пункт, built-up area
деревня, village
море, sea
озеро, lake
океан, ocean
пройти, pass
проходить, pass
грунтовая дорога, gravel road
дорога, road
шоссе, highway
шоссейная дорога, highway
улица, street
тропа, trail
тропинка, path
поле, field
топографический, topographic
топография, topography
рельеф, relief
растительный покров, vegetation cover
впереди, ahead
позади, behind
лощина, hollow
вблизи, nearby
вдали, far away
железная дорога, railway
железнодорожный, railway
мост, bridge
темнеть, get dark
тёмный, dark
компас, compass
ориентир, reference point
местный, local
местный предмет, terrain feature
место, place
предмет, object
высота, elevation
район, area
территория, area
пересечённый, rough
огневая точка, firing position
точка, point
оборудовать, prepare
траншея, trench
опорный пункт, strongpoint
наблюдательный пункт, observation post
укрепление, fortification
укреплённый, fortified
укреплять, fortify
водная преграда, water obstacle
заграждение, obstacle
преграда, obstacle
препятствие, obstacle
противо-, anti-
противотанковый, anti-tank
противопехотный, anti-personnel
противотранспортный, anti-vehicle
противодесантный, anti-amphibious
взрывной, explosive
невзрывной, non-explosive
минное поле, minefield
фугас, explosive charge
мина-ловушка, booby-trap mine
ров, ditch
эскарп, escarp
контрэскарп, counterscarp
надолба, anti-tank obstacle post
ёж, hedgehog
колючая проволока, barbed wire
проволока, barbed wire
проволочная спираль, concertina wire
проволочное препятствие, barbed-wire obstacle
рогатка, cheval de frise
спираль, spiral
ориентирование, orienteering
ориентироваться, navigate
