огнестрельное оружие, ampuma-ase
оружие, ase
винтовка, kivääri
карабин, karbiini
пистолет, pistooli
автомат, rynnäkkökivääri
пистолет-пулемёт, konepistooli
пулемёт, konekivääri
гранатомёт, sinko
реактивный противотанковый гранатомёт, sinko
ручной противотанковый гранатомёт, sinko
безоткатное орудие, sinko
миномёт, kranaatinheitin
орудие, tykki
пушка, kanuuna
гаубица, haupitsi
боеприпасы, ampumatarvike
патрон, patruuna
граната, kranaatti
мина, miina
снаряд, ammus
бомба, pommi
мотострелковый, moottoroitu
огневая подготовка, ampumakoulutus
стрелковая подготовка, ampumakoulutus
стрелковая рота, kiväärikomppania
автоматический, automaattinen
какой, mikä
бывать, käydä
ручной, käsikäyttöinen
станковый, jalustallinen
авиационный, ilma
зенитный, ilmatorjunta
танковый, panssari
артиллерийский, tykistö
кабинет, työhuone
прямо, suoraan
справа, oikealla
слева, vasemmalla
рядом, vieressä
висеть, riippua
стоять, seisoa
лежать, maata
схема, kaavio
огонь, tuli
танк, panssarivaunu
боевой, taistelu
гусеничный, telaketjuinen
бронированный, panssaroitu
машина, ajoneuvo
основной, pää
часть, osa
броневой, panssari
корпус, armeijakunta
башня, torni
вооружение, aseistus
силовая установка, voimanlähde
силовая передача, voimansiirto
ходовая часть, alusta
электрооборудование, sähkölaitteisto
средства связи, viestivälineet
подразделяться, jakautua
лёгкий, kevyt
средний, keskinen
тяжёлый, raskas
военный, sotilas
корабль, alus
судно, laiva
авианосец, lentotukialus
линейный корабль, taistelulaiva
линкор, taistelulaiva
крейсер, risteilijä
подводная лодка, sukellusvene
эскадренный миноносец, hävittäjä
эсминец, hävittäjä
десантный, maihinnousu
вертолётоносец, helikopteritukialus
десантный вертолётоносец, maihinnousutukialus
сторожевой корабль, fregatti
артиллерийский катер, tykkivene
торпедный катер, torpedovene
тральщик, miinanraivaaja
минный заградитель, miinanlaskija
другой, muu
аэродром, lentokenttä
вчера, eilen
завтра, huomenna
позавчера, toissapäivänä
послезавтра, ylihuomenna
сегодня, tänään
занятие, harjoitus
поздний, myöhäinen
ранний, varhainen
летний, kesäinen
погода, sää
изучать, opiskella
вертолёт, helikopteri
самолёт, lentokone
скоро, pian
начинать, aloittaa
начинаться, alkaa
полёт, lento
техник, teknikko
техника, kalusto
осматривать, tarkastaa
лётчик-инструктор, lennonopettaja
задача, tehtävä
задание, tehtävä
поставить задачу, поручить
ставить задачу, поручать
проверять, tarkistaa
раз, kerta
взлёт, lentoonlähtö
кабина, ohjaamo
запускать, käynnistää
двигатель, moottori
мотор, moottori
выруливать, rullata
старт, lähtö
летательный, lento
аппарат, laite
крыло, siipi
фюзеляж, runko
оперение, pyrstö
шасси, laskuteline
иметь, omata
разнообразный, vaihteleva
мочь, voida
смочь, pystyä
поражать, tuhota
наземный, maa
воздушный, ilma
цель, kohde
выполнять, suorittaa
специальный, erityinen
бомбардировщик, pommikone
торпедоносец, torpedokone
истребитель-бомбардировщик, hävittäjäpommittaja
истребитель, hävittäjä
истребитель-перехватчик, torjuntahävittäjä
разведчик, tiedustelija
тактический, taktinen
