Russian,Finnish
огонь, fire
боевой, combat
поражать, engage
цель, target
поражение, destruction
выброска десанта, airborne drop
высадка воздушного десанта, airborne landing
передний край, forward edge
обнаруживать, detect
враг, enemy
вражеский, enemy
противник, adversary
огневой, fire
бой, combat
форсирование, crossing (assault)
форсировать, conduct an assault crossing
переправа, crossing
переправляться, cross
занимать, seize
занять, seize
плацдарм, bridgehead
прикрывать, cover
прикрытие, cover
позиция, position
рубеж, line
атака, attack
атаковать, attack
штурм, assault
оборона, defence
оборонять, defend
обороняться, defend
обороняющийся, defender
ответный, counter-
успешно, successfully
ввести в бой, commit
вступить в бой, engage
вывести из боя, disengage
выводить из боя, disengage
завязать бой, initiate combat
преследование, pursuit
преследовать, pursue
уничтожать, destroy
уничтожение, destruction
захват, seizure
захватывать, seize
захваченный, seized
вести бой, fight
вести войну, wage war
вести наблюдение, conduct observation
вести огонь, deliver fire
вести разведку, conduct reconnaissance
вести стрельбу, conduct firing
война, war
наблюдение, observation
стрельба, firing
наблюдатель, observer
наблюдать, observe
наступательный, offensive
наступать, advance
наступающий, attacker
наступление, offensive
боевой порядок, combat formation
предбоевой порядок, approach formation
развёртывание, deployment
развернуться, deploy
овладевать, seize
овладение, seizure
перейти, move
переход, movement
переходить, move
оценивать, assess
оценка, assessment
обстановка, situation
меры, measures
решение, decision
участие, participation
упредить, pre-empt
упреждение, pre-emption
выход, exit
выдвигаться, move forward
выдвижение, movement forward
выдвинуться, move forward
направление, direction
намеченный, planned
появление, appearance
появляться, appear
змейка, file
колонна, column
цепь, skirmish line
шеренга, rank
внезапность, surprise
внезапный, sudden
врасплох, by surprise
застигать, surprise
организованный, organized
организовать, organize
помощь, assistance
сопротивление, resistance
осторожно, cautiously
собирать, collect
данные, data
сведения, information
решать, decide
обман, deception
разведка, reconnaissance
разведывательный, reconnaissance
