Russian,Finnish
мотострелковый, moottoroitu
стрелковая рота, kiväärikomppania
авиационный, ilma
зенитный, ilmatorjunta
танковый, panssari
артиллерийский, tykistö
военный, sotilas
десантный, maihinnousu
разведчик, tiedustelija
транспортный, kuljetus
военно-транспортный, sotilaskuljetus
десантно-транспортный, maahanlaskukuljetus
связь, yhteys
санитарный, lääkintä
подразделение, alayksikkö
соединение, yhtymä
объединение, armeijaryhmä
отделение, ryhmä
взвод, joukkue
рота, komppania
батальон, pataljoona
пулемётный, konekivääri
миномётный, kranaatinheitin
сапёр, pioneeri
сапёрный, pioneeri
инженерный, pioneeri
пехота, jalkaväki
номер расчёта, ryhmänmies
расчёт, miehistö
батарея, patteri
дивизион, patteristo
экипаж, miehistö
полк, rykmentti
штаб, esikunta
обеспечение, huolto
обслуживание, ylläpito
служба тыла, huolto
снабжение, täydennys
тыл, selusta
тыловые службы, huoltolajit
тыловое обеспечение, huolto
бригада, prikaati
дивизия, divisioona
армия, armeija
фронт, rintama
армейская группа, armeijaryhmä
войска, joukot
войсковой, joukko
род войск, aselaji
боец, taistelija
воин, soturi
пехотинец, jalkaväkimies
пехотный, jalkaväki
солдат, sotilas
воздушнодесантные войска, maahanlaskujoukot
воздушнодесантный, maahanlasku
воздушный десант, maahanlasku
десант, maahanlasku
разведгруппа, tiedusteluryhmä
командир, komentaja
передовой отряд, etuosasto
майор, majuri
артиллерия, tykistö
береговая артиллерия, rannikkotykistö
зенитная артиллерия, ilmatorjuntatykistö
полевая артиллерия, kenttätykistö
ракетная артиллерия, rakettitykistö
корпус, armeijakunta
