Russian,Finnish
прямо, suoraan
справа, oikealla
слева, vasemmalla
рядом, vieressä
стоять, seisoa
лежать, maata
местность, maasto
большой, suuri
маленький, pieni
узкий, kapea
широкий, leveä
равнина, tasanko
течь, virrata
река, joki
глубокий, syvä
мелкий, matala
неглубокий, matala
левый, vasen
налево, vasemmalle
направо, oikealle
правый, oikea
берег, ranta
высокий, korkea
невысокий, matala
низкий, matala
крутой, jyrkkä
пологий, loiva
овраг, rotko
ручей, puro
недалеко, lähellä
холм, mäki
восток, itä
восточный, itäinen
запад, länsi
западный, läntinen
север, pohjoinen
северный, pohjoinen
юг, etelä
южный, eteläinen
скат, rinne
дальше, kauempana
лес, metsä
лиственный лес, lehtimetsä
смешанный, seka
хвойный лес, havumetsä
расти, kasvaa
густой, tiheä
редкий, harva
кустарник, pensaikko
луг, niitty
болото, suo
населённый пункт, asutuskeskus
деревня, kylä
море, meri
озеро, järvi
океан, valtameri
пройти, kulkea
проходить, kulkea
грунтовая дорога, soratie
дорога, tie
шоссе, valtatie
шоссейная дорога, valtatie
улица, katu
тропа, polku
тропинка, polku
поле, pelto
топографический, topografinen
топография, topografia
рельеф, maastonmuoto
растительный покров, kasvipeite
впереди, edessä
позади, takana
лощина, notko
вблизи, lähellä
вдали, kaukana
железная дорога, rautatie
железнодорожный, rautatie
мост, silta
темнеть, pimetä
тёмный, pimeä
компас, kompassi
ориентир, kiintopiste
местный, paikallinen
местный предмет, maastonkohta
место, paikka
предмет, kohde
высота, korkeus
район, alue
территория, alue
пересечённый, epätasainen
огневая точка, tulipesäke
точка, piste
оборудовать, rakentaa
траншея, taisteluhauta
опорный пункт, tukikohta
наблюдательный пункт, tähystyspaikka
укрепление, linnoitus
укреплённый, linnoitettu
укреплять, linnoittaa
водная преграда, vesistöeste
заграждение, sulute
преграда, este
препятствие, este
противо-, vasta
противотанковый, panssarintorjunta
противопехотный, jalkaväentorjunta
противотранспортный, tientuhoaminen
противодесантный, maihinnousuntorjunta
взрывной, räjähtävä
невзрывной, räjähtämätön
минное поле, miinakenttä
фугас, räjähde
мина-ловушка, ansamiina
ров, kaivanto
эскарп, vastarinneleikkaus
контрэскарп, myötärinneleikkaus
надолба, estepaalu
ёж, siili
колючая проволока, piikkilanka
проволока, piikkilanka
проволочная спираль, lieriöeste
проволочное препятствие, piikkilankaeste
рогатка, espanjalaisratsu
спираль, spiraali
ориентирование, suunnistus
ориентироваться, suunnistaa
