Russian,Finnish
огонь, tuli
боевой, taistelu
поражать, tuhota
цель, kohde
поражение, tuho
выброска десанта, pudotus
высадка воздушного десанта, maahanvienti
передний край, etulinja
обнаруживать, havaita
враг, vihollinen
вражеский, vihollinen
противник, vastustaja
огневой, tuli
бой, taistelu
форсирование, ylitys
форсировать, ylittää
переправа, ylitys
переправляться, ylittää
занимать, vallata
занять, vallata
плацдарм, sillanpää
прикрывать, suojata
прикрытие, suoja
позиция, aseма
рубеж, linja
атака, hyökkäys
атаковать, hyökätä
штурм, rynnäkkö
оборона, puolustus
оборонять, puolustaa
обороняться, puolustautua
обороняющийся, puolustaja
ответный, vasta
успешно, onnistuneesti
ввести в бой, sitouttaa
вступить в бой, ryhtyä
вывести из боя, irrottaa
выводить из боя, irrottaa
завязать бой, aloittaa
преследование, takaa-ajo
преследовать, jahdata
уничтожать, tuhota
уничтожение, tuhoaminen
захват, valtaus
захватывать, vallata
захваченный, vallattu
вести бой, taistella
вести войну, sotia
вести наблюдение, tähystää
вести огонь, tulittaa
вести разведку, tiedustella
вести стрельбу, ampua
война, sota
наблюдение, tähystys
стрельба, ammunta
наблюдатель, tähystäjä
наблюдать, tähystää
наступательный, hyökkäys
наступать, edetä
наступающий, hyökkääjä
наступление, hyökkäys
боевой порядок, taisteluryhmitys
предбоевой порядок, alkuryhmitys
развёртывание, ryhmittyminen
развернуться, ryhmittyä
овладевать, vallata
овладение, valtaus
перейти, siirtyä
переход, siirtyminen
переходить, siirtyä
оценивать, arvioida
оценка, arviointi
обстановка, tilanne
меры, toimenpiteet
решение, päätös
участие, osallistuminen
упредить, ennättää
упреждение, ennakко
выход, ulosmeno
выдвигаться, edetä
выдвижение, eteneminen
выдвинуться, edetä
направление, suunta
намеченный, suunniteltu
появление, ilmestyminen
появляться, ilmestyä
змейка, avojono
колонна, kolonna
цепь, avorivi
шеренга, rivi
внезапность, yllätys
внезапный, yllättävä
врасплох, yllättäen
застигать, yllättää
организованный, järjestetty
организовать, järjestää
помощь, apu
сопротивление, vastarinta
осторожно, varovasti
собирать, kerätä
данные, tiedot
сведения, tiedot
решать, ratkaista
обман, harhautus
разведка, tiedustelu
разведывательный, tiedustelu
