Russian,Finnish
мотострелковый, motorized rifle
стрелковая рота, rifle company
авиационный, aviation
зенитный, air defence
танковый, armoured
артиллерийский, artillery
военный, military
десантный, airborne
разведчик, reconnaissance soldier
транспортный, transport
военно-транспортный, military transport
десантно-транспортный, airborne transport
связь, communications
санитарный, medical
подразделение, sub-unit
соединение, formation
объединение, operational-strategic formation
отделение, squad
взвод, platoon
рота, company
батальон, battalion
пулемётный, machine-gun
миномётный, mortar
сапёр, combat engineer
сапёрный, engineer
инженерный, engineer
пехота, infantry
номер расчёта, crew member
расчёт, crew
батарея, battery
дивизион, battalion (artillery)
экипаж, crew
полк, regiment
штаб, headquarters
обеспечение, support
обслуживание, maintenance
служба тыла, logistics
снабжение, supply
тыл, rear
тыловые службы, logistics services
тыловое обеспечение, logistics support
бригада, brigade
дивизия, division
армия, army
фронт, front
армейская группа, army group
войска, forces
войсковой, force
род войск, service branch
боец, fighter
воин, warrior
пехотинец, infantryman
пехотный, infantry
солдат, soldier
воздушнодесантные войска, airborne forces
воздушнодесантный, airborne
воздушный десант, airborne assault
десант, assault landing
разведгруппа, reconnaissance patrol
командир, commander
передовой отряд, advance detachment
майор, major
артиллерия, artillery
береговая артиллерия, coastal artillery
зенитная артиллерия, air defence artillery
полевая артиллерия, field artillery
ракетная артиллерия, rocket artillery
корпус, corps
